0,0,0
"
El Protestantismo comparado con el Catolicismo en sus relaciones con la Civilización Europea (Vols 1-2)
","
Balmes, Jaime Luciano, 1810-1848","Jun 23, 2019"
"
Crónicas de Marianela
","
Palma, Angélica, 1883-1935","Dec 4, 2010"
"
Filosofía Fundamental, Tomo III
","
Balmes, Jaime Luciano, 1810-1848","Mar 13, 2006"
"
Filosofía Fundamental, Tomo IV
","
Balmes, Jaime Luciano, 1810-1848","Mar 29, 2009"
"
Catalogo de los Objetos Etnologicos y Arqueologicos Exhibidos por la Expedición Hemenway
","
Bandelier, Adolph Francis Alphonse, 1840-1914","Feb 11, 2012"
"
Quince minutos en globoDisparate cómico-lírico-bailable en un acto, en prosa y verso
","
Barberá, Joaquín","Jul 17, 2016"
"
Un paseo por Paris, retratos al natural
","
Barcia, Roque, 1823?-1885","Feb 14, 2005"
"
La Argentina, o La conquista del Rio de La Plata. Poema histórico
","
Barco Centenera, Martín del, 1535-","May 3, 2008"
"
El amor, el dandysmo y la intriga
","
Baroja, Pío, 1872-1956","Jan 17, 2020"
"
Los Caminos del Mundo
","
Baroja, Pío, 1872-1956","Jun 25, 2015"
"
El aprendiz de conspirador
","
Baroja, Pío, 1872-1956","Oct 13, 2014"
"
Los Caudillos de 1830
","
Baroja, Pío, 1872-1956","Nov 13, 2016"
"
El árbol de la ciencia: novela
","
Baroja, Pío, 1872-1956","Oct 10, 2019"
"
Con la Pluma y con el Sable: Crónica de 1820 a 1823
","
Baroja, Pío, 1872-1956","Jul 18, 2015"
"
Las Furias
","
Baroja, Pío, 1872-1956","Jul 20, 2017"
"
Los Contrastes de la Vida
","
Baroja, Pío, 1872-1956","Apr 25, 2016"
"
Las figuras de cera: novela
","
Baroja, Pío, 1872-1956","Nov 8, 2020"
"
El Escuadrón del Brigante
","
Baroja, Pío, 1872-1956","Apr 24, 2015"
"
La dama erranteLa raza, Tomo I
","
Baroja, Pío, 1872-1956","Nov 17, 2018"
"
Las inquietudes de Shanti Andia
","
Baroja, Pío, 1872-1956","Jul 8, 2004"
"
Las inquietudes de Shanti Andía
","
Baroja, Pío, 1872-1956","Oct 5, 2014"
"
La lucha por la vida: Aurora roja
","
Baroja, Pío, 1872-1956","Aug 20, 2012"
"
La Isabelina
","
Baroja, Pío, 1872-1956","Feb 6, 2017"
"
La lucha por la vida: La busca
","
Baroja, Pío, 1872-1956","Aug 9, 2013"
"
Mala Hierba
","
Baroja, Pío, 1872-1956","Jun 23, 2013"
"
La Ruta del Aventurero
","
Baroja, Pío, 1872-1956","Dec 20, 2015"
"
Los Recursos de la Astucia
","
Baroja, Pío, 1872-1956","Oct 4, 2015"
"
La lucha por la vida: Mala hierba
","
Baroja, Pío, 1872-1956","Jun 25, 2013"
"
Zalacaín El Aventurero(Historia de las buenas andanzas y fortunas de Martín Zalacaín el Aventurero)
","
Baroja, Pío, 1872-1956","Aug 23, 2004"
"
El Sabor de la Venganza
","
Baroja, Pío, 1872-1956","Mar 6, 2017"
"
La Veleta de Gastizar
","
Baroja, Pío, 1872-1956","Sep 7, 2016"
"
Deberes de buena sociedad
","
Fabra, Camilo, 1833-1902","Oct 17, 2019"
"
Tres Comedias Modernasen un acto y en prosa
","
Barranco, Mariano, 1850-","Jun 3, 2008"
"
Los Indios, su Historia y su Civilización
","
Batres Jáuregui, Antonio","Mar 28, 2014"
"
La voz de la conseja, t.1Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Baroja, Pío, 1872-1956","Sep 22, 2012"
"
Salambó
","
Flaubert, Gustave, 1821-1880","Sep 13, 2021"
"
Legends, Tales and Poems
","
Bécquer, Gustavo Adolfo, 1836-1870","Jan 1, 2004"
"
Historia de Venezuela, Tomo I
","
Aguado, Pedro de, active 16th century","Jun 8, 2012"
"
Historia de Venezuela, Tomo II
","
Aguado, Pedro de, active 16th century","Jun 8, 2012"
"
Legends, Tales and Poems
","
Bécquer, Gustavo Adolfo, 1836-1870","Jan 1, 2004"
"
De Sobremesa; crónicas, Cuarta Parte (de 5)
","
Benavente, Jacinto, 1866-1954","Dec 17, 2018"
"
Obras escogidas
","
Bécquer, Gustavo Adolfo, 1836-1870","Nov 19, 2016"
"
De Sobremesa; crónicas, Primera Parte (de 5)
","
Benavente, Jacinto, 1866-1954","Mar 5, 2017"
"
De Sobremesa; crónicas, Quinta Parte (de 5)
","
Benavente, Jacinto, 1866-1954","Dec 26, 2018"
"
De Sobremesa; crónicas, Segunda Parte (de 5)
","
Benavente, Jacinto, 1866-1954","Jul 3, 2017"
"
Heath's Modern Language Series: Tres ComediasSin querer; De pequenas causas...; Los intereses creados
","
Benavente, Jacinto, 1866-1954","Feb 17, 2009"
"
De Sobremesa; crónicas, Tercera Parte (de 5)
","
Benavente, Jacinto, 1866-1954","Mar 18, 2018"
"
Cuentos de poeta
","
Blanco-Fombona, Rufino, 1874-1944","Sep 28, 2019"
"
Historia de Teruel
","
Blasco, Cosme, 1838-1900","Nov 5, 2008"
"
Suma y narracion de los Incas, que los indios llamaron Capaccuna, que fueron señores de la ciudad del Cuzco y de todo lo á ella subjeto
","
Betanzos, Juan de, -1576","Jun 5, 2008"
"
El aceite de olivasSu extracción, clarificación, depuración, conservación y envases para su exportación, decoloración y medios propuestos para quitarle la rancidez
","
Bizzarri, Alejandro","Jan 13, 2013"
"
Velázquez en el museo del Prado
","
Beruete y Moret, A. de (Aureliano), 1876-1922","Apr 9, 2021"
"
Dramas (2 de 2): Lucrecia Borgia; María Tudor; La Esmeralda; Ruy Blas
","
Hugo, Victor, 1802-1885","Jun 10, 2021"
"
La voz de la conseja, t.1Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Baroja, Pío, 1872-1956","Sep 22, 2012"
"
La araña negra, t. 3/9
","
Blasco Ibáñez, Vicente, 1867-1928","May 30, 2014"
"
La araña negra, t. 2/9
","
Blasco Ibáñez, Vicente, 1867-1928","May 30, 2014"
"
La araña negra, t. 1/9
","
Blasco Ibáñez, Vicente, 1867-1928","May 30, 2014"
"
La araña negra, t. 4/9
","
Blasco Ibáñez, Vicente, 1867-1928","May 30, 2014"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
La araña negra, t. 6/9
","
Blasco Ibáñez, Vicente, 1867-1928","May 30, 2014"
"
La araña negra, t. 8/9
","
Blasco Ibáñez, Vicente, 1867-1928","May 30, 2014"
"
La araña negra, t. 7/9
","
Blasco Ibáñez, Vicente, 1867-1928","May 30, 2014"
"
La araña negra, t. 9/9
","
Blasco Ibáñez, Vicente, 1867-1928","May 30, 2014"
"
Los argonautas
","
Blasco Ibáñez, Vicente, 1867-1928","May 30, 2008"
"
La araña negra, t. 5/9
","
Blasco Ibáñez, Vicente, 1867-1928","May 30, 2014"
"
Argentina, Legend and History
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 5, 2013"
"
La bodega
","
Blasco Ibáñez, Vicente, 1867-1928","May 22, 2009"
"
La Barraca
","
Blasco Ibáñez, Vicente, 1867-1928","Feb 7, 2005"
"
Cañas y barro: Novela
","
Blasco Ibáñez, Vicente, 1867-1928","Aug 27, 2018"
"
Arroz y tartana
","
Blasco Ibáñez, Vicente, 1867-1928","Aug 2, 2005"
"
La Catedral
","
Blasco Ibáñez, Vicente, 1867-1928","Sep 7, 2005"
"
La condenada (cuentos)
","
Blasco Ibáñez, Vicente, 1867-1928","Jan 7, 2009"
"
Los cuatro jinetes del apocalipsis
","
Blasco Ibáñez, Vicente, 1867-1928","Feb 6, 2008"
"
Los enemigos de la mujer
","
Blasco Ibáñez, Vicente, 1867-1928","Aug 20, 2011"
"
Cuentos valencianos
","
Blasco Ibáñez, Vicente, 1867-1928","Oct 11, 2021"
"
Flor de mayo
","
Blasco Ibáñez, Vicente, 1867-1928","Dec 31, 2012"
"
Entre naranjos
","
Blasco Ibáñez, Vicente, 1867-1928","Sep 28, 2009"
"
La familia de Doctor Pedraza
","
Blasco Ibáñez, Vicente, 1867-1928","Jun 28, 2021"
"
La horda
","
Blasco Ibáñez, Vicente, 1867-1928","Aug 20, 2010"
"
Mare nostrum
","
Blasco Ibáñez, Vicente, 1867-1928","Oct 29, 2007"
"
El intruso
","
Blasco Ibáñez, Vicente, 1867-1928","Jan 31, 2008"
"
La maja desnuda
","
Blasco Ibáñez, Vicente, 1867-1928","Jun 24, 2013"
"
El libro de las mil noches y una noche; t. 2
","
Anonymous","Dec 11, 2014"
"
El libro de las mil noches y una noche; t. 3
","
Anonymous","May 9, 2015"
"
Oriente
","
Blasco Ibáñez, Vicente, 1867-1928","Jul 9, 2012"
"
El libro de las mil noches y una noche; t. 1
","
Anonymous","Nov 5, 2014"
"
Novelas de la Costa Azul
","
Blasco Ibáñez, Vicente, 1867-1928","Jan 10, 2022"
"
El préstamo de la difunta
","
Blasco Ibáñez, Vicente, 1867-1928","Dec 9, 2004"
"
El paraiso de las mujeresNovela
","
Blasco Ibáñez, Vicente, 1867-1928","Jan 1, 2004"
"
Los muertos mandan
","
Blasco Ibáñez, Vicente, 1867-1928","May 31, 2007"
"
La reina Calafia (novela)
","
Blasco Ibáñez, Vicente, 1867-1928","Aug 4, 2020"
"
Sangre y arena
","
Blasco Ibáñez, Vicente, 1867-1928","Oct 21, 2008"
"
La Tierra de Todos
","
Blasco Ibáñez, Vicente, 1867-1928","Sep 24, 2004"
"
Sónnica la cortesana: Novela
","
Blasco Ibáñez, Vicente, 1867-1928","Feb 18, 2020"
"
La vuelta al mundo de un novelista; vol. 2/3
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 20, 2020"
"
La vuelta al mundo de un novelista; vol. 1/3
","
Blasco Ibáñez, Vicente, 1867-1928","Nov 19, 2020"
"
Edipo rey; Edipo en Colona; Antígona
","
Sophocles, 495? BCE-406 BCE","Oct 20, 2020"
"
La Biblia en España, Tomo I (de 3)O viajes, aventuras y prisiones de un inglés en su intento de difundir las Escrituras por la Península
","
Borrow, George, 1803-1881","Jan 24, 2016"
"
Catálogo Instructivo de las Colecciones Mineralógicas
","
Bodenbender, Guillermo, 1857-1941","Dec 22, 2006"
"
El sombrero de tres picosHistoria verdadera de un sucedido que anda en romances escrita ahora tal y como pasó
","
Alarcón, Pedro Antonio de, 1833-1891","Jul 25, 2009"
"
La Biblia en España, Tomo III (de 3)O viajes, aventuras y prisiones de un inglés en su intento de difundir las Escrituras por la Península
","
Borrow, George, 1803-1881","Apr 8, 2016"
"
La Biblia en España, Tomo II (de 3)O viajes, aventuras y prisiones de un inglés en su intento de difundir las Escrituras por la Península
","
Borrow, George, 1803-1881","Jan 24, 2016"
"
La voz de la conseja, t.2Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos
","
Álvarez Quintero, Joaquín, 1873-1944","Oct 18, 2012"
"
Relation des choses de Yucatan de Diego de LandaTexte espagnol et traduction française en regard, comprenant les signes du calendrier et de l'alphabet hiéroglyphique de la langue maya; accompagné de documents divers historiques et chronologiques, avec une grammaire et un vocabulaire abrégés français-maya, précédés d'un essai sur les sources de l'histoire primitive du Mexique et de l'Amérique Centrale, etc., d'après les monuments égyptiens, et de l'histoire primitive de l'égypte d'après les monuments américains par l'abbé Brasseur de Bourbourg
","
Brasseur de Bourbourg, abbé, 1814-1874","May 18, 2019"
"
Relation des choses de Yucatan de Diego de LandaTexte espagnol et traduction française en regard, comprenant les signes du calendrier et de l'alphabet hiéroglyphique de la langue maya; accompagné de documents divers historiques et chronologiques, avec une grammaire et un vocabulaire abrégés français-maya, précédés d'un essai sur les sources de l'histoire primitive du Mexique et de l'Amérique Centrale, etc., d'après les monuments égyptiens, et de l'histoire primitive de l'égypte d'après les monuments américains par l'abbé Brasseur de Bourbourg
","
Brasseur de Bourbourg, abbé, 1814-1874","May 18, 2019"
"
Lo que dice la historiaCartas al señor Ministro de Ultramar
","
Brau, Salvador, 1842-1912","Mar 13, 2013"
